,,ID,,Details,Reviews,Device Name
23,,24,,"Display: 6.52""
Camera: 50MP + 2MP | 13MP Selfie
Battery: 5000mAh
Memory: 128GB ROM | | 8GB RAM
Processor: Octa-Core
Specifications of Sparx Neo 7 Ultra 128GB ROM | 8GB RAM Battery: 5000mAh Display: 6.52"" PTA APPROVED OFFICIAL BRAND WARRANTY
Brand Sparx SKU 433245694_PK-2076772714 Protection Not Specified Year Not Specified Number Of Cameras 2 Warranty Policy EN ONE YEAR OFFICIAL BRAND WARRANTY
What’s in the box 1 X PHONE 1 X CHARGER 1 X EJECT PIN 1 X USERGUIDE
VIEW LESS","[""Received in good condition but there are alarming things: 1. Warranty was already started 20 days ago 2. Charging is pathetic, it stops charging after 5-10% then you need to replug the charger 3. seller doesn't reply 😒 #11.11"", ""Received in good condition but there are alarming things: 1. Warranty was already started 20 days ago 2. Charging is pathetic, it stops charging after 5-10% then you need to replug the charger 3. seller doesn't reply 😒 #11.11"", ""Received in good condition but there are alarming things: 1. Warranty was already started 20 days ago 2. Charging is pathetic, it stops charging after 5-10% then you need to replug the charger 3. seller doesn't reply 😒 #11.11""]","Sparx Neo 7 Ultra 128GB ROM | 8GB RAM Battery: 5000mAh Display: 6.52"" PTA APPROVED OFFICIAL BRAND WARRANTY"
24,,25,,"Infinix Note 30 detailed specificationsBuildOSAndroid 13 OS UIXOS Dimensions168.6 x 76.6 x 8.6 mm Weight219 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsObsidian Black, Interstellar Blue, Sunset Gold Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900 3G BandHSDPA 850 / 900 / 2100 4G BandLTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500) ProcessorCPUOcta-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55) ChipsetMediatek MT8781 Helio G99 (6nm) GPUMali-G57 MC2 DisplayTechnologyIPS LCD Capacitive Touchscreen, 16M Colors, Multitouch Size6.8 Inches Resolution1080 x 2460 Pixels (~396 PPI) Extra Features120Hz, 580 nits (peak) MemoryBuilt-in256GB Built-in, 8GB RAM, UFS CardmicroSDXC (dedicated slot) CameraMainTriple Camera: 64 MP, f/1.7, (wide), 1/2"", PDAF + 2 MP, f/2.4, (depth) + QVGA, Quad LED Flash FeaturesPhase detection, Geo-tagging, Panorama, HDR, Video (1440p@30fps, 1080p@30/60fps) Front16 MP, f/2.0, (wide), LED flash, HDR, Video (1080p@30fps) ConnectivityWLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct Bluetoothv5.1 with A2DP, LE GPSYes + A-GPS support RadioFM Radio USBUSB Type-C 2.0, OTG NFCYes DataGPRS, Edge, 3G (HSPA 42.2/5.76 Mbps, 4G (LTE Cat4 150/50 Mbps) FeaturesSensorsAccelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity Audio3.5mm Audio Jack, Dual Speaker, Tuned by JBL BrowserHTML5 MessagingSMS(threaded view), MMS, Email, Push Mail, IM GamesBuilt-in + Downloadable TorchYes ExtraNFC, (market/region dependent) Glass front, plastic frame, glass or leather back, Photo/video editor, Document viewer BatteryCapacity(Li-Po Non removable), 5000 mAh - Fast charging 45W wired
Specifications of Infinix Note 30 8GB Ram 256GB Memory
Brand No Brand SKU 433100478_PK-2101350773 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Infinix Note 30 8GB Ram 256GB Memory
VIEW LESS","['#11.11 Very good phone and timely delivered.. impressive service', '#11.11 Very good phone and timely delivered.. impressive service', '#11.11 Very good phone and timely delivered.. impressive service']",Infinix Note 30 8GB Ram 256GB Memory
25,,26,,"6.78 InchesDisplay
8 GBRAM
5000 mAhBattery
50 MP + QVGABack Camera

              VIEW MORE","['pehli br draz sy itni mehnghi cheez li ha. i was so scared. wo b advance payment py. ak tu is me headfone include nhi. wo msla company ka ha. dusra black color order kia ta. seller ny bina pochy yh bej dia. itna issue ni h at least ak br pochna chye na? i pay 41000 for it k market sy b zada h. wo b adjustable h. phone mujy bht psnd aya isk features. clr ghlt bejny ki wja giving 4 star.', 'pehli br draz sy itni mehnghi cheez li ha. i was so scared. wo b advance payment py. ak tu is me headfone include nhi. wo msla company ka ha. dusra black color order kia ta. seller ny bina pochy yh bej dia. itna issue ni h at least ak br pochna chye na? i pay 41000 for it k market sy b zada h. wo b adjustable h. phone mujy bht psnd aya isk features. clr ghlt bejny ki wja giving 4 star.', 'pehli br draz sy itni mehnghi cheez li ha. i was so scared. wo b advance payment py. ak tu is me headfone include nhi. wo msla company ka ha. dusra black color order kia ta. seller ny bina pochy yh bej dia. itna issue ni h at least ak br pochna chye na? i pay 41000 for it k market sy b zada h. wo b adjustable h. phone mujy bht psnd aya isk features. clr ghlt bejny ki wja giving 4 star.']","Tecno Spark 10 Pro , 8GB RAM 128GB ROM , Back Camera 50 MP , fingersensor , 5000mAh Battery"
26,,27,,"1 Year Brand Warranty
Display : 6.67"" Inch FHD+ AMOLED
OS : Android 13
Memory : 12GB RAM , 512GB ROM
Processor: MediaTek Dimensity 9200+
Rear Camera: Leica professional optical lens
Leica main camera 1/1.28” sensor size50MP
Leica telephoto camera 50MP
Leica ultra-wide camera 12MP
Front Camera : 20 MP
Battery : Li-Po 5000 mAh, non-removable
67W Fast Charging
Fingerprint (Under-Display) and FaceUnlock
PTA Approved
MediaTek Dimensity 9200+
Extremely powerful, awesome like you've never seen before
Using TSMC's precise 4nm process with super-high integration for a powerful performance, tens of billions of mass-integrated transistors equipped with an innovative development resource architecture, provide better adaptation and lower power consumption, regardless of whether you're working, gaming, or creating. Its strength should not be underestimated.

Leica main camera
Coupled with a super-sized sensor to bring a more delicate texture to your photographs and preserve the stories in every moment of light and shadow wonderfully.

Leica ultra-wide camera
The 15mm equivalent focal length creates an amazing sense of space, capturing more wonder and displaying more character tension in each shot.

Pro HDR display Ultra-dynamic display
The Xiaomi 13T Pro's ultra-dynamic display technology can increase brightness up to 5 times that of traditional displays. It can accurately identify HDR areas, use dynamic masks to darken the brightness of non-HDR areas, and smoothly transition between different areas of brightness for better images.

With Pro HDR display
Without Pro HDR display

High-frequency dimming is more eye-friendly when using a phone at night
Up to 2880Hz PWM dimming surpasses the stroboscopic perception of the human eye, reducing visual fatigue caused by flickering and taking better care of your eyes.
Specifications of Xiaomi 13T Pro - 6.67"" Inch AMOLED Display - 12GB RAM - 512GB ROM
Brand No Brand SKU 434620695_PK-2084510864 Protection Not Specified Year Not Specified Number Of Cameras 3
What’s in the box 1xPhone 1xCharger 1xWarrantyCard
VIEW LESS",[],"Xiaomi 13T Pro - 6.67"" Inch AMOLED Display - 12GB RAM - 512GB ROM"
27,,28,,"General FeaturesRelease Date2023-04-14SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions163.88 x 75.51 x 8.65 mmPhone Weight196.5 gOperating SystemAndroid 12DisplayScreen Size6.6 inchesScreen Resolution720 x 1612 PixelsScreen TypeIPS LCDScreen ProtectionN/AMemoryInternal Memory64 GBRAM2 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorOcta-core 1.6 GHzGPUN/ABatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera5 MPFront Flash LightYesFront Video Recording720p@30fpsBack Flash LightYesBack Camera8 MP + 0.08 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCNo
General Features
Release Date 2023-04-14
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 163.88 x 75.51 x 8.65 mm
Phone Weight 196.5 g   
Operating System Android 12
Display
Screen Size 6.6 inches
Screen Resolution 720 x 1612 Pixels
Screen Type IPS LCD
Screen Protection N/A
Memory
Internal Memory 64 GB
RAM 2 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Octa-core 1.6 GHz
GPU N/A
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 5 MP
Front Flash Light Yes
Front Video Recording 720p@30fps
Back Flash Light Yes
Back Camera 8 MP + 0.08 MP
Back Video Recording 1080p@30fps
Connectivity
Bluetooth Yes
3G Yes
4G/LTE Yes
5G No
Radio Yes
WiFi Yes
NFC No
Specifications of infinix Smart 7 HD , 2GB + 2GB Ram 64GB Rom , 6.6 Inches HD , 5000 mAh- Battery
Brand No Brand SKU 427598680_PK-2031585109 Protection Corning Gorilla Glass 1 Year 2020 Number Of Cameras 2
What’s in the box 1 Charging Adopter + 1 Data Cable + 1 Mobile Set + 1 User Manual
VIEW LESS","['Product is original. Charger, Cable, Protector & cover was also present in box. Only system of warranty is unclear. Delivery was very late.', 'Product is original. Charger, Cable, Protector & cover was also present in box. Only system of warranty is unclear. Delivery was very late.', 'Product is original. Charger, Cable, Protector & cover was also present in box. Only system of warranty is unclear. Delivery was very late.']","infinix Smart 7 HD , 2GB + 2GB Ram 64GB Rom , 6.6 Inches HD , 5000 mAh- Battery"
28,,29,,"High-Resolution Camera Setup:Triple camera setup with a 64-megapixel primary camera for detailed photos.
2-megapixel depth sensor for creating a bokeh effect in portrait shots.
QVGA camera for additional photography options.
32-megapixel front camera with a center punch-hole design for high-quality selfies.
Vivid AMOLED Display:120Hz refresh rate AMOLED display for smooth scrolling and animations.
Supports up to 1080 x 2400 pixels resolution for crisp and vibrant visuals.
Generous 6.67-inch screen size for an immersive viewing experience.
Powerful Performance:Powered by the MediaTek G99 processor built on a 6nm process for efficient performance.
Mali-G57 MC2 GPU for handling gaming and graphics-intensive tasks with ease.
Provides excellent multitasking capabilities for a seamless user experience.
Ample Storage and Memory:Single variant with 8GB of RAM for smooth multitasking.
256GB of internal storage to store your apps, photos, videos, and more.
Long-Lasting Battery:A sizable 5000mAh battery ensures all-day usage on a single charge.
33W fast charging technology enables quick replenishment of the battery.
Fast Charging:33W fast charging capability ensures that your phone charges rapidly, reducing downtime.
Sleek Design:Modern and stylish design with a center punch-hole display for a trendy look.
Enhanced Gaming:The combination of the MediaTek G99 processor and Mali-G57 MC2 GPU provides a great gaming experience with smooth graphics and responsive gameplay.
Ample Storage:With 256GB of internal storage, you have plenty of space for apps, games, photos, videos, and more.
Secure and Convenient Unlocking:Options for secure unlocking, including facial recognition using the front camera and a fingerprint sensor.
Software Features:Runs on the latest Android operating system with additional software enhancements for an improved user experience.
Connectivity Options:Supports 4G LTE for fast internet connectivity.
Dual SIM card slots for added convenience.
Audio and Multimedia:High-quality audio and multimedia experience, ideal for entertainment and content consumption.
Durable Build:Well-built and durable construction to withstand daily wear and tear.
Affordable Pricing:Provides a good balance of features and performance at a competitive price point.
Tecno Camon 20 Pro is available in a single variant of 8GB RAM and 256GB Storage. This mobile phone provides decent specs, screen size, camera setup, battery timing, fast charging, and performance. Tecno Camon 20 Pro comes with a triple camera setup with a 64-megapixel primary camera, 2-megapixel depth sensor and QVGA, the selfie camera features a 32-megapixel center punch-hole. Display of Tecno Camon 20 Pro comes with 120Hz AMOLED and supports upto 1080 x 2400 pixels Resolution and has a screen size of 6.67"" inches. The processor in Tecno Camon 20 Pro featured MediaTek G99 (6 nm) and Mali-G57 MC2 GPU which provides good gaming performance and multitasking. Mobile has battery capacity of 5000 mAh and 33W fast charging which charge the phone in less time.
Specifications of Tecno Camon 20 Pro 8GB 256GB | 64-megapixel primary camera | MediaTek G99 processor | 5000mAh battery | 1 Year Brand warranty
Brand No Brand SKU 433969037_PK-2095364064 Protection Corning Gorilla Glass 4 Year 2020 Number Of Cameras 4
What’s in the box x phone 1 x charger 1 x Data Cable 1 x Guide Book 1 x warranty card
VIEW LESS","['100 percent original product. The seller shipped fast but the daraz delivery service was very poor because of the #11.11 sale. received 3 days late after delivery timeline.', '100 percent original product. The seller shipped fast but the daraz delivery service was very poor because of the #11.11 sale. received 3 days late after delivery timeline.', '100 percent original product. The seller shipped fast but the daraz delivery service was very poor because of the #11.11 sale. received 3 days late after delivery timeline.']",Tecno Camon 20 Pro 8GB 256GB | 64-megapixel primary camera | MediaTek G99 processor | 5000mAh battery | 1 Year Brand warranty
29,,30,,"Display: 6.71” HD+ Dot Drop display
Resolution: 1650×720 HD+
Processor: MediaTek Helio G85
Storage: Expandable Storage up to 1TB
Operating System: MIUI13 | Android 12
Rear Camera: 50MP Dual main camera
Front Camera: 5 MP Camera
Battery: 5000mAh (typ) high-capacity battery
Charging: 10W fast charging | Micro USB
Dimensions: 168.76×76.41×8.77mm
Weight: 192g
Audio: 3.5mm headphone jack
Package Contents: Redmi 12C/ Adapter/ USB cable / SIM eject tool / Warranty card / User guide
Display: 6.71” HD+ Dot Drop display
Resolution: 1650×720 HD+
Processor: MediaTek Helio G85
Storage: Expandable Storage up to 1TB
Operating System: MIUI13 | Android 12
Rear Camera: 50MP Dual main camera
Front Camera: 5 MP Camera
Battery: 5000mAh (typ) high-capacity battery
Charging: 10W fast charging | Micro USB
Dimensions: 168.76×76.41×8.77mm
Weight: 192g
Audio: 3.5mm headphone jack
Package Contents: Redmi 12C/ Adapter/ USB cable / SIM eject tool / Warranty card / User guide
Specifications of Redmi 12C 4GB Ram 5000mAh Battery Fingerprint Sensor
Brand No Brand SKU 424648944_PK-2011336201 Protection Corning Gorilla Glass 1 Number Of Cameras 2 Year 2020
What’s in the box 1 Charging Adopter + 1 Data Cable + 1 Mobile Set","['Experience was good, delivery on time', 'Experience was good, delivery on time', 'Experience was good, delivery on time']",Redmi 12C 4GB Ram 5000mAh Battery Fingerprint Sensor
30,,31,,"BuildOSAndroid 12 OS UIMIU1 13 Dimensions168.8 x 76.4 x 8.8 mm Weight192 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsBlack, Blue, Mint, Violet Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900 3G BandHSDPA 850 / 900 / 1900 / 2100 4G BandLTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500) ProcessorCPUOcta-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55) ChipsetMediatek MT6769Z Helio G85 (12nm) GPUMali-G52 MC2 DisplayTechnologyIPS LCD Capacitive Touchscreen, 16M Colors, Multitouch Size6.71 Inches Resolution720 x 1650 Pixels (~268 PPI) ProtectionCorning Gorilla Glass Extra Features500 nits (typ) MemoryBuilt-in128GB Built-in, 4GB RAM CardmicroSDXC (dedicated slot) CameraMainDual camera: 50 MP, (wide), PDAF + 0.08 MP (depth), LED Flash FeaturesPhase detection, geo-tagging, touch focus, face detection, HDR, panorama, Video (1080p@30fps) Front5 MP, Video (1080p@30fps) ConnectivityWLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct Bluetoothv5.1 with A2DP, LE GPSYes + A-GPS support & Glonass, BDS RadioFM Radio USBmicroUSB 2.0 NFCYes DataGPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A FeaturesSensorsAccelerometer, Fingerprint (rear mounted), Proximity Audio3.5mm Audio Jack, Speaker Phone BrowserHTML5 MessagingSMS(threaded view), MMS, Email, Push Mail, IM Gamesbuilt-in + downloadable TorchYes ExtraNFC (market dependent), Photo/video editor, Document viewer BatteryCapacity(Li-Po Non removable), 5000 mAh - Battery charging 10W wired
Build OS Android 12 OS  
UI MIU1 13  
Dimensions 168.8 x 76.4 x 8.8 mm  
Weight 192 g  
SIM Dual Sim, Dual Standby (Nano-SIM)  
Colors Black, Blue, Mint, Violet  
Frequency 2G Band SIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900  
3G Band HSDPA 850 / 900 / 1900 / 2100  
4G Band LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)  
Processor CPU Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55)  
Chipset Mediatek MT6769Z Helio G85 (12nm)  
GPU Mali-G52 MC2  
Display Technology IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch  
VIEW MORE","[""well packed, buht hi acha original mobile,, very fast delivery within just 2 days. good seller, I'm very happy and satisfied, thanks"", ""well packed, buht hi acha original mobile,, very fast delivery within just 2 days. good seller, I'm very happy and satisfied, thanks"", ""well packed, buht hi acha original mobile,, very fast delivery within just 2 days. good seller, I'm very happy and satisfied, thanks""]",Redmi 12C || 4GB Ram 128GB Rom || 6.71 Inches IPS Display || 5000 mAh - Battery charging 10W wired
31,,32,,"Official PTA Approved
1 Year official Warranty
Ram 4Gb
Storage 128Gb
6.5” HD+ Display with 90 Hz Fast Refresh Rate
Rear Cam: 50MP Main + 2MP Depth + 2MP Macro
Side-mounted Fingerprint Sensor
Large Expandable Storage (up to 1TB)
15-Watt Adaptive Fast Charging with C-Type port
Specifications of Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY
Brand No Brand SKU 429492323_PK-2045838409 Protection Not Specified Year Not Specified Number Of Cameras 4
What’s in the box 1 x A04s Phone, 1 Charger 15w, 1 Type C Cable, 1 Sim Inject Pin, 1 x User Manual
VIEW LESS","['i loved the phone, its orignal n sealed brand new phone. Thank you seller.', 'i loved the phone, its orignal n sealed brand new phone. Thank you seller.', 'i loved the phone, its orignal n sealed brand new phone. Thank you seller.']",Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY
32,,33,,"• OPPO a57 2022 with Corning Gorilla Glass 5 protection.
• 2 cameras for capturing your moments.
• 5000 mAh battery for long-lasting usage.
• 4GB RAM and 64GB storage for smooth performance.
• Latest model year 2020 from OPPO.
• OPPO a57 2022 with Corning Gorilla Glass 5 protection.
• 2 cameras for capturing your moments.
• 5000 mAh battery for long-lasting usage.
• 4GB RAM and 64GB storage for smooth performance.
• Latest model year 2020 from OPPO.
Specifications of Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)
Brand No Brand SKU 436693448_PK-2098342045 Protection Corning Gorilla Glass 5 Year 2020 Number Of Cameras 3
What’s in the box 1x Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","['its PTA approved device..', 'its PTA approved device..']","Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)"
33,,34,,"Processor SDM 695 5G 6nm
RAM & ROM 8 GB + 256 GB (8GB Extended RAM)
Battery 4600 mAh (TYP)
Fast Charging 44W
Color Forest Black, Rose Gold
Operating System Funtouch OS 13
Screen 6.67 -inch Amoled
Resolution 2400 × 1080 (FHD+)
Refresh Rate 120Hz
Camera Front 50MP AF / Rear 64 MP + 8 MP
Fingerprint In-display fingerprint sensor
Processor SDM 695 5G 6nm
RAM & ROM 8 GB + 256 GB (8GB Extended RAM)
Battery 4600 mAh (TYP)
Fast Charging 44W
Color Forest Black, Rose Gold
Operating System Funtouch OS 13
Screen 6.67 -inch Amoled
Resolution 2400 × 1080 (FHD+)
Refresh Rate 120Hz
Camera Front 50MP AF / Rear 64 MP + 8 MP
Fingerprint In-display fingerprint sensor
Specifications of vivo V29e 5G - 8+8GB Extended RAM - 256GB ROM - 50MP AF Group Selfie - 120Hz Amoled Display
Brand Vivo SKU 437889286_PK-2113900508 Protection Not Specified Year Not Specified Number Of Cameras 3
VIEW MORE","['box was damaged. there was no seal on a box mobile was used .the gift they shown in pictures was different from what they sent .very bad experience .', 'box was damaged. there was no seal on a box mobile was used .the gift they shown in pictures was different from what they sent .very bad experience .', 'box was damaged. there was no seal on a box mobile was used .the gift they shown in pictures was different from what they sent .very bad experience .']",vivo V29e 5G - 8+8GB Extended RAM - 256GB ROM - 50MP AF Group Selfie - 120Hz Amoled Display
34,,35,,"Imported New Phone with Box & Charger
CPU model: Qualcomm Snapdragon 450
Number of CPU cores: 1.8GHz octa-core processor
Physical Specifications: Height: 154.81mm
Width: 75.03mm
Thickness: 7.89mm
Weight: 150g
RAM: 4GB
ROM: 64GB
Battery information: 3260mAh
Size: 6.26 inches
Resolution: 2280×1080
Screen material: IPS
Touch screen: incell
Front camera pixel: 16 million pixels
Front camera aperture: F2.0 (front)
Number of rear cameras: Dual camera
Rear camera pixel: main camera 13 million pixels, sub camera 2 million pixels
Rear camera aperture: F2.2 (rear main camera)
Rear flash: LED fill light
Autofocus: support
Shooting modes: professional photography, slow motion, time-lapse photography, filters, dynamic photos, rear dual-camera blur, front single-camera blur, backlight photo, beauty photo, rear panorama photo, front panorama photo, Palm photo, gender-specific beauty, Selfie screen fill light, AR stickers, automatic scene recognition algorithm for photos
Video recording format: MP4
Video recording: 1080P
Network type: dual card dual standby full Netcom
Network frequency band: 2G GSM: 850/900/1800/1900MHz
3G WCDMA: B1/B5/B8
3G TD-SCDMA: B34/B39
3G CDMA: BC0
4G FDD-LTE: B1/B3/B5/B8
4G TDD-LTE: B34/B38/B39/B40/B41
Music player: support
MP3 Ringtones: Support
Recording: support
Fingerprint recognition: rear fingerprint
Facial recognition: Face Wake facial recognition
OS: Android 8.1
WLAN: Support WIFI/WAPI
Bluetooth transmission: support Bluetooth 4.2
OTG: support
USB interface type: Micro-USB
Headphone jack standard: 3.5mm American standard headphone jack
Navigation: Support
Cloud Services: Support
Accelerometer: support
Ambient Light Sensor: Support
Proximity sensor: support
Gyroscope: Virtual Gyroscope
CPU model: Qualcomm Snapdragon 450
Number of CPU cores: 1.8GHz octa-core processor
Physical Specifications: Height: 154.81mm
Width: 75.03mm
Thickness: 7.89mm
Weight: 150g
RAM: 4GB
ROM: 64GB
Battery information: 3260mAh
Size: 6.26 inches
Resolution: 2280×1080
Screen material: IPS
Touch screen: incell
Front camera pixel: 16 million pixels
Front camera aperture: F2.0 (front)
Number of rear cameras: Dual camera
Rear camera pixel: main camera 13 million pixels, sub camera 2 million pixels
Rear camera aperture: F2.2 (rear main camera)
Rear flash: LED fill light
Autofocus: support
Shooting modes: professional photography, slow motion, time-lapse photography, filters, dynamic photos, rear dual-camera blur, front single-camera blur, backlight photo, beauty photo, rear panorama photo, front panorama photo, Palm photo, gender-specific beauty, Selfie screen fill light, AR stickers, automatic scene recognition algorithm for photos
Video recording format: MP4
Video recording: 1080P
Network type: dual card dual standby full Netcom
Network frequency band: 2G GSM: 850/900/1800/1900MHz
3G WCDMA: B1/B5/B8
3G TD-SCDMA: B34/B39
3G CDMA: BC0
4G FDD-LTE: B1/B3/B5/B8
4G TDD-LTE: B34/B38/B39/B40/B41
Music player: support
MP3 Ringtones: Support
Recording: support
Fingerprint recognition: rear fingerprint
Facial recognition: Face Wake facial recognition
OS: Android 8.1
WLAN: Support WIFI/WAPI
Bluetooth transmission: support Bluetooth 4.2
OTG: support
USB interface type: Micro-USB
Headphone jack standard: 3.5mm American standard headphone jack
Navigation: Support
Cloud Services: Support
Accelerometer: support
Ambient Light Sensor: Support
Proximity sensor: support
Gyroscope: Virtual Gyroscope
Specifications of Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile
Brand No Brand SKU 436809943_PK-2101413702 Protection Corning Gorilla Glass 3 Year 2018 Number Of Cameras 3
What’s in the box Phone with Box & Charger
VIEW LESS","['Mobile phone kamal ka. tha bilkul ok piece tha.', 'Mobile phone kamal ka. tha bilkul ok piece tha.', 'Mobile phone kamal ka. tha bilkul ok piece tha.']",Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile
35,,36,,"BuildOSAndroid 12 Go edition UIMIUI Dimensions164.9 x 76.8 x 9.1 mm Weight192 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsLight Green, Light Blue, Black Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900 3G BandHSDPA 850 / 900 / 2100 4G BandLTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500) ProcessorCPUOcta-core (4 x 2.2 GHz Cortex-A53 + 4 x 1.7 GHz Cortex-A53) ChipsetMediatek Helio G36 (12 nm) GPUPowerVR GE8320
Display Technology IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch  
Size 6.5 Inches  
Resolution 720 x 1600 Pixels (~269 PPI)  
Extra Features 400 nits (typ)  
Memory Built-in 64GB Built-in, 3GB RAM  
Card microSDXC (dedicated)  
Camera Main Dual Camera: 8 MP, f/2.0, (wide) + 0.08 MP (depth), Dual LED Flash  
Features Phase detection, geo-tagging, touch focus, face detection, Video (1080p@30fps)  
Front 5 MP, f/2.2, Video (1080p@30fps)  
Connectivity WLAN Wi-Fi 802.11 a/b/g/n  
Bluetooth v5.0 with A2DP, LE  
GPS Yes + GPS, GLONASS, GALILEO, BDS  
Radio FM Radio  
USB microUSB 2.0  
NFC No  
Data GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A  
Features Sensors Accelerometer, Fingerprint (rear-mounted)  
Audio 3.5mm Audio Jack, 24-bit/192kHz audio, Speaker Phone  
Browser HTML5  
Messaging SMS(threaded view), MMS, Email, Push Mail, IM  
Games built-in + downloadable  
Torch Yes  
Extra Photo/video editor, Document viewer  
Battery Capacity (Li-ion Non removable), 5000 mAh  
- Fast battery charging  
Specifications of Redmi A2 Plus , 3GB RAM 64GB ROM , 8MP Main Camera , Fingerprint , 5000mAh Fast Charging
Brand No Brand SKU 431415621_PK-2075020731
VIEW MORE","['Best mobile in this price I recommend others to buy this specially from this seller Seller is very good responsive #ReviewWorldCup', 'Best mobile in this price I recommend others to buy this specially from this seller Seller is very good responsive #ReviewWorldCup', 'Best mobile in this price I recommend others to buy this specially from this seller Seller is very good responsive #ReviewWorldCup']","Redmi A2 Plus , 3GB RAM 64GB ROM , 8MP Main Camera , Fingerprint , 5000mAh Fast Charging"
36,,37,,"6.78""Inches
1080 x 2460Pixels
50MP Triple cameraSingle Camera
8GBRam
Mediatek G99Processor
5000 mAhLi-Ion
VGOTEL Note 23 Key Specs
6.78""
Inches
1080 x 2460
Pixels
50MP Triple camera
Single Camera
8GB
Ram

VIEW MORE","['I ordered vgotel note23, came with charger and hand free nice mobile overall good experience but price is a bit different than market.']",VGOTEL NOTE 23 8+8=16GB RAM 256GB ROM = 5000mAh BATTERY
